All,ทั้งหมด
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-Z) ตัวเลข (0-9) ช่องว่าง และ ""#"" ในช่องนี้"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","โปรดป้อนหมายเลขโทรศัพท์ที่ถูกต้อง ตัวอย่างเช่น (123) 456-7890 หรือ 123-456-7890"
"Please enter a valid fax number (Ex: 123-456-7890).","โปรดป้อนหมายเลขแฟกซ์ที่ถูกต้อง (เช่น 123-456-7890)"
"Please enter a valid email address (Ex: johndoe@domain.com).","กรุณาใส่อีเมลที่ถูกต้อง (ตัวอย่าง: johndoe@domain.com)"
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","โปรดป้อนอักขระ 6 ตัวขึ้นไป ช่องว่างนำหน้าและต่อท้ายจะถูกละเว้น"
"Please enter 7 or more characters, using both numeric and alphabetic.","โปรดป้อนอักขระ 7 ตัวขึ้นไป โดยใช้ทั้งตัวเลขและตัวอักษร"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","โปรดป้อน URL ที่ถูกต้อง. ต้องใช้โปรโตคอล (http://, https:// หรือ ftp://)"
"Please enter a valid URL. For example http://www.example.com or www.example.com.","โปรดป้อน URL ที่ถูกต้อง. ตัวอย่างเช่น http://www.example.com หรือ www.example.com"
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","โปรดป้อนตัวระบุ XML ที่ถูกต้อง (เช่น something_1, block5, id-4)"
"Please enter a valid social security number (Ex: 123-45-6789).","โปรดป้อนหมายเลขประกันสังคมที่ถูกต้อง (เช่น 123-45-6789)"
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","โปรดป้อนรหัสไปรษณีย์ที่ถูกต้อง (เช่น 90602 หรือ 90602-1234)"
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","โปรดใช้รูปแบบวันที่นี้: dd/mm/yyyy ตัวอย่างเช่น 17/03/2006 สำหรับวันที่ 17 มีนาคม 2549"
"Please enter a valid $ amount. For example $100.00.","โปรดป้อนจำนวนเงินที่ถูกต้อง $ เช่น $100.00"
"Please enter a number 0 or greater in this field.","โปรดป้อนตัวเลขที่มากกว่า 0 ในฟิลด์นี้"
"Please enter a number greater than 0 in this field.","โปรดป้อนตัวเลขที่มากกว่า 0 ในฟิลด์นี้"
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","โปรดป้อนความยาว CSS ที่ถูกต้อง (เช่น 100px, 77pt, 20em, .5ex หรือ 50%)"
"Please enter a valid number in this field.",โปรดป้อนตัวเลขที่ถูกต้องในฟิลด์นี้
"The value is not within the specified range.",ค่าไม่อยู่ในช่วงที่ระบุ
"Please use letters only (a-z or A-Z) in this field.","โปรดใช้ตัวอักษรเท่านั้น (a-z หรือ A-Z) ในช่องนี้"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","โปรดใช้เฉพาะตัวอักษร (a-z หรือ A-Z) หรือตัวเลข (0-9) ในช่องนี้ ไม่อนุญาตให้เว้นวรรคหรืออักขระอื่น ๆ"
"Please enter a valid date.",โปรดป้อนวันที่ที่ถูกต้อง
"Make sure the To Date is later than or the same as the From Date.","ตรวจสอบให้แน่ใจว่า To Date นั้นช้ากว่าหรือเหมือนกับวันที่เริ่มต้น"
"Please make sure your passwords match.",โปรดตรวจสอบให้แน่ใจว่ารหัสผ่านของคุณตรงกัน
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","โปรดป้อนคีย์ URL ที่ถูกต้อง (เช่น ""example-page"", ""example-page.html"" หรือ ""anotherlevel/example-page"")"
"Please enter a valid zip code.",กรุณาใส่รหัสไปรษณีย์ที่ถูกต้อง.
"Please select one of the options above.",โปรดเลือกหนึ่งในตัวเลือกด้านบน
"Please select State/Province.",โปรดเลือกรัฐ/จังหวัด
"Please select a file.",โปรดเลือกไฟล์
"The field isn't complete.",ฟิลด์ไม่สมบูรณ์
"Please select one of the options.",โปรดเลือกตัวเลือกใดตัวเลือกหนึ่ง
"Please enter a value less than or equal to %s.","โปรดป้อนค่าที่น้อยกว่าหรือเท่ากับ %s"
"Please enter a value greater than or equal to %s.","โปรดป้อนค่าที่มากกว่าหรือเท่ากับ %s"
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","โปรดป้อนที่อยู่อีเมลที่ถูกต้อง โดยคั่นด้วยเครื่องหมายจุลภาค ตัวอย่างเช่น johndoe@domain.com, johnsmith@domain.com"
"Card type does not match credit card number.",ประเภทบัตรไม่ตรงกับหมายเลขบัตรเครดิต
"Credit card number does not match credit card type.",หมายเลขบัตรเครดิตไม่ตรงกับประเภทบัตรเครดิต
"Incorrect credit card expiration date.",วันหมดอายุบัตรเครดิตไม่ถูกต้อง
"Please enter a valid credit card verification number.",โปรดป้อนหมายเลขยืนยันบัตรเครดิตที่ถูกต้อง
"Please enter issue number or start date for switch/solo card type.",โปรดป้อนหมายเลขปัญหาหรือวันที่เริ่มต้นสำหรับประเภทสวิตช์/บัตรโซโล
"Please enter less or equal than %1 symbols.","โปรดป้อนสัญลักษณ์น้อยกว่าหรือเท่ากับ %1"
"Please enter more or equal than %1 symbols.","โปรดป้อนสัญลักษณ์มากกว่าหรือเท่ากับ %1"
"Please enter positive number in this field.",โปรดป้อนจำนวนบวกในฟิลด์นี้
"Please enter a valid value, ex: 10,20,30","โปรดป้อนค่าที่ถูกต้อง เช่น 10,20,30"
"Please enter a valid value from list",โปรดป้อนค่าที่ถูกต้องจากรายการ
"Please enter valid SKU key.","โปรดป้อนรหัส SKU ที่ถูกต้อง"
"Please enter a valid number.",โปรดป้อนหมายเลขที่ถูกต้อง
"This is required field",ช่องนี้จำเป็นต้องกรอก
"Admin is a required field in each row.",ผู้ดูแลระบบเป็นฟิลด์บังคับในแต่ละแถว
"Please fix this field.",โปรดแก้ไขฟิลด์นี้
"Please enter a valid URL.","โปรดป้อน URL ที่ถูกต้อง"
"Please enter a valid date (ISO).","โปรดป้อนวันที่ที่ถูกต้อง (ISO)"
"Please enter only digits.",กรุณากรอกตัวเลขเท่านั้น
"Please enter the same value again.",โปรดป้อนค่าเดิมอีกครั้ง
"Please enter no more than {0} characters.","โปรดป้อนอักขระไม่เกิน {0} ตัว"
"Please enter at least {0} characters.","โปรดป้อนอักขระอย่างน้อย {0} ตัว"
"Please enter a value between {0} and {1} characters long.","โปรดป้อนค่าที่มีความยาวระหว่าง {0} ถึง {1} อักขระ"
"Please enter a value between {0} and {1}.","โปรดป้อนค่าระหว่าง {0} ถึง {1}"
"Please enter a value less than or equal to {0}.","โปรดป้อนค่าที่น้อยกว่าหรือเท่ากับ {0}"
"Please enter a value greater than or equal to {0}.","โปรดป้อนค่าที่มากกว่าหรือเท่ากับ {0}"
"Please specify the quantity of product(s).",กรุณาระบุจำนวนสินค้า
"Please enter a date between %min and %max.","โปรดป้อนวันที่ระหว่าง %min ถึง %max"
"Please enter a valid full date.",โปรดป้อนวันที่เต็มที่ถูกต้อง
"Please enter a valid month (1-12).","โปรดป้อนเดือนที่ถูกต้อง (1-12)"
"Please enter a valid year (1900-%1).","โปรดป้อนปี ค.ศ. ที่ถูกต้อง (1900-%1)"
"Please enter a valid day (1-%1).","โปรดป้อนวันที่ถูกต้อง (1-%1)"
"Please enter a date from the past.",โปรดป้อนวันที่จากอดีต
"Please enter a quantity greater than 0.","โปรดป้อนจำนวนที่มากกว่า 0"
"The fewest you may purchase is %1.","จำนวนน้อยที่สุดที่คุณสามารถซื้อได้คือ %1"
"The maximum you may purchase is %1.","สูงสุดที่คุณสามารถซื้อได้คือ %1"
"You can buy this product only in quantities of %1 at a time.","คุณสามารถซื้อผลิตภัณฑ์นี้ในปริมาณ %1 ต่อครั้งเท่านั้น"
"Forbidden extensions has been used. Avoid usage of ","มีการใช้ส่วนขยายต้องห้าม หลีกเลี่ยงการใช้ "
"No marginal white space please",ได้โปรดอย่าเว้นวรรค
"Insert Variable",แทรกตัวแปร
"Insert Widget","แทรก วิดเจ็ต"
"The widget %1 is no longer available. Select a different widget.","วิดเจ็ต %1 ไม่สามารถใช้งานได้อีกต่อไป เลือกวิดเจ็ตอื่น"
"First character must be letter.",อักขระตัวแรกต้องเป็นตัวอักษร
"The password can't be the same as the email address. Create a new password and try again.","รหัสผ่านต้องไม่เหมือนกับที่อยู่อีเมล สร้างรหัสผ่านใหม่และลองอีกครั้ง"
